-999 -999 -999    12.68800 -999.00000    6.12075 -999.00000 -999.00000
-999 -999 -999    11.35400 -999.00000    6.25262 -999.00000 -999.00000
-999 -999 -999    13.61700 -999.00000    6.39759 -999.00000 -999.00000
-999 -999 -999    11.85400 -999.00000    6.55037 -999.00000 -999.00000
-999 -999 -999    13.98700 -999.00000    6.70948 -999.00000 -999.00000
-999 -999 -999     8.98300 -999.00000    6.82528 -999.00000 -999.00000
-999 -999 -999     7.02500 -999.00000    6.82990 -999.00000 -999.00000
-999 -999 -999    12.13700 -999.00000    6.88506 -999.00000 -999.00000
-999 -999 -999    10.51200 -999.00000    6.99557 -999.00000 -999.00000
-999 -999 -999    12.37500 -999.00000    7.10912 -999.00000 -999.00000
-999 -999 -999    12.60400 -999.00000    7.25746 -999.00000 -999.00000
-999 -999 -999    12.82600 -999.00000    7.41351 -999.00000 -999.00000
-999 -999 -999    10.15000 -999.00000    7.52385 -999.00000 -999.00000
-999 -999 -999     8.48700 -999.00000    7.55008 -999.00000 -999.00000
-999 -999 -999    14.82100 -999.00000    7.66558 -999.00000 -999.00000
-999 -999 -999    10.56700 -999.00000    7.82060 -999.00000 -999.00000
-999 -999 -999    12.30400 -999.00000    7.92279 -999.00000 -999.00000
-999 -999 -999    15.46300 -999.00000    8.12646 -999.00000 -999.00000
-999 -999 -999    15.49200 -999.00000    8.40132 -999.00000 -999.00000
-999 -999 -999     8.67900 -999.00000    8.51820 -999.00000 -999.00000
-999 -999 -999     9.39200 -999.00000    8.48203 -999.00000 -999.00000
-999 -999 -999    10.31700 -999.00000    8.48965 -999.00000 -999.00000
-999 -999 -999    12.42500 -999.00000    8.57215 -999.00000 -999.00000
-999 -999 -999    14.22100 -999.00000    8.74979 -999.00000 -999.00000
-999 -999 -999    14.64600 -999.00000    8.98300 -999.00000 -999.00000
-999 -999 -999    16.44300 -999.00000    9.27679 -999.00000 -999.00000
-999 -999 -999    17.84500 -999.00000    9.66788 -999.00000 -999.00000
-999 -999 -999    19.09100 -999.00000   10.15558 -999.00000 -999.00000
-999 -999 -999    12.14200 -999.00000   10.44829 -999.00000 -999.00000
-999 -999 -999    16.60800 -999.00000   10.63462 -999.00000 -999.00000
-999 -999 -999    16.42100 -999.00000   10.99244 -999.00000 -999.00000
-999 -999 -999    14.45000 -999.00000   11.24334 -999.00000 -999.00000
-999 -999 -999    13.32900 -999.00000   11.32861 -999.00000 -999.00000
-999 -999 -999    13.07100 -999.00000   11.33787 -999.00000 -999.00000
-999 -999 -999    16.61200 -999.00000   11.51417 -999.00000 -999.00000
-999 -999 -999    15.11200 -999.00000   11.78450 -999.00000 -999.00000
-999 -999 -999    15.75400 -999.00000   11.98857 -999.00000 -999.00000
-999 -999 -999    19.59600 -999.00000   12.44040 -999.00000 -999.00000
-999 -999 -999    14.06700 -999.00000   12.75913 -999.00000 -999.00000
-999 -999 -999    12.72100 -999.00000   12.55676 -999.00000 -999.00000
-999 -999 -999    17.25400 -999.00000   12.62072 -999.00000 -999.00000
-999 -999 -999    10.79600 -999.00000   12.54506 -999.00000 -999.00000
-999 -999 -999    13.47100 -999.00000   12.23142 -999.00000 -999.00000
-999 -999 -999    15.47500 -999.00000   12.29003 -999.00000 -999.00000
-999 -999 -999    15.15800 -999.00000   12.45097 -999.00000 -999.00000
-999 -999 -999    12.25000 -999.00000   12.38047 -999.00000 -999.00000
-999 -999 -999    10.52900 -999.00000   12.02526 -999.00000 -999.00000
-999 -999 -999    11.88800 -999.00000   11.73693 -999.00000 -999.00000
-999 -999 -999    13.53800 -999.00000   11.68101 -999.00000 -999.00000
-999 -999 -999    15.94200 -999.00000   11.85961 -999.00000 -999.00000
-999 -999 -999    17.16300 -999.00000   12.23083 -999.00000 -999.00000
-999 -999 -999    12.03700 -999.00000   12.33486 -999.00000 -999.00000
-999 -999 -999    14.02100 -999.00000   12.22534 -999.00000 -999.00000
-999 -999 -999    17.67100 -999.00000   12.49394 -999.00000 -999.00000
-999 -999 -999    14.12900 -999.00000   12.74492 -999.00000 -999.00000
-999 -999 -999    11.11300 -999.00000   12.50220 -999.00000 -999.00000
-999 -999 -999    16.12900 -999.00000   12.45418 -999.00000 -999.00000
-999 -999 -999    12.52900 -999.00000   12.51295 -999.00000 -999.00000
-999 -999 -999    15.50800 -999.00000   12.52442 -999.00000 -999.00000
-999 -999 -999    14.29200 -999.00000   12.65692 -999.00000 -999.00000
-999 -999 -999    16.33800 -999.00000   12.83161 -999.00000 -999.00000
-999 -999 -999    17.50800 -999.00000   13.21881 -999.00000 -999.00000
-999 -999 -999    19.96300 -999.00000   13.85697 -999.00000 -999.00000
-999 -999 -999    17.69200 -999.00000   14.46696 -999.00000 -999.00000
-999 -999 -999    17.67500 -999.00000   14.76103 -999.00000 -999.00000
-999 -999 -999    15.70400 -999.00000   14.76721 -999.00000 -999.00000
-999 -999 -999    13.11300 -999.00000   14.25613 -999.00000 -999.00000
-999 -999 -999    11.75400 -999.00000   13.54119 -999.00000 -999.00000
-999 -999 -999     9.39600 -999.00000   12.78203 -999.00000 -999.00000
-999 -999 -999    11.25400 -999.00000   12.25961 -999.00000 -999.00000
-999 -999 -999    11.55000 -999.00000   12.02582 -999.00000 -999.00000
-999 -999 -999    10.35800 -999.00000   11.79145 -999.00000 -999.00000
-999 -999 -999    12.65400 -999.00000   11.67029 -999.00000 -999.00000
-999 -999 -999    12.85400 -999.00000   11.70981 -999.00000 -999.00000
-999 -999 -999    14.80000 -999.00000   11.86579 -999.00000 -999.00000
-999 -999 -999    15.13300 -999.00000   12.13869 -999.00000 -999.00000
-999 -999 -999    15.47900 -999.00000   12.43190 -999.00000 -999.00000
-999 -999 -999    11.97100 -999.00000   12.49135 -999.00000 -999.00000
-999 -999 -999    11.07700 -999.00000   12.25023 -999.00000 -999.00000
-999 -999 -999    14.92100 -999.00000   12.25241 -999.00000 -999.00000
-999 -999 -999    18.85400 -999.00000   12.74899 -999.00000 -999.00000
-999 -999 -999    16.61700 -999.00000   13.34162 -999.00000 -999.00000
-999 -999 -999    14.02500 -999.00000   13.50524 -999.00000 -999.00000
-999 -999 -999    15.97100 -999.00000   13.58825 -999.00000 -999.00000
-999 -999 -999    19.26100 -999.00000   14.11477 -999.00000 -999.00000
-999 -999 -999    14.65800 -999.00000   14.45069 -999.00000 -999.00000
-999 -999 -999    15.57900 -999.00000   14.33376 -999.00000 -999.00000
-999 -999 -999    16.10400 -999.00000   14.40687 -999.00000 -999.00000
-999 -999 -999    18.39200 -999.00000   14.76306 -999.00000 -999.00000
-999 -999 -999    17.55400 -999.00000   15.21465 -999.00000 -999.00000
-999 -999 -999    16.53300 -999.00000   15.33628 -999.00000 -999.00000
-999 -999 -999    16.61300 -999.00000   15.30406 -999.00000 -999.00000
-999 -999 -999    15.31700 -999.00000   15.13234 -999.00000 -999.00000
-999 -999 -999    11.99200 -999.00000   14.45467 -999.00000 -999.00000
-999 -999 -999     7.28300 -999.00000   13.21091 -999.00000 -999.00000
-999 -999 -999     9.74200 -999.00000   12.36487 -999.00000 -999.00000
-999 -999 -999     9.47100 -999.00000   11.96374 -999.00000 -999.00000
-999 -999 -999     9.55500 -999.00000   11.65354 -999.00000 -999.00000
-999 -999 -999    10.04600 -999.00000   11.44421 -999.00000 -999.00000
-999 -999 -999     8.74600 -999.00000   11.23423 -999.00000 -999.00000
-999 -999 -999     8.97400 -999.00000   11.01140 -999.00000 -999.00000
-999 -999 -999     7.39200 -999.00000   10.76680 -999.00000 -999.00000
-999 -999 -999     6.79200 -999.00000   10.47120 -999.00000 -999.00000
-999 -999 -999     8.68700 -999.00000   10.28238 -999.00000 -999.00000
-999 -999 -999    12.91300 -999.00000   10.35976 -999.00000 -999.00000
-999 -999 -999    14.71300 -999.00000   10.66996 -999.00000 -999.00000
-999 -999 -999    11.90400 -999.00000   10.92952 -999.00000 -999.00000
-999 -999 -999     5.68800 -999.00000   10.76666 -999.00000 -999.00000
-999 -999 -999     7.48300 -999.00000   10.43741 -999.00000 -999.00000
-999 -999 -999    10.68300 -999.00000   10.37137 -999.00000 -999.00000
-999 -999 -999    11.81700 -999.00000   10.48613 -999.00000 -999.00000
-999 -999 -999    10.69200 -999.00000   10.59390 -999.00000 -999.00000
-999 -999 -999     8.75800 -999.00000   10.56635 -999.00000 -999.00000
-999 -999 -999     9.75400 -999.00000   10.50444 -999.00000 -999.00000
-999 -999 -999    11.06200 -999.00000   10.54572 -999.00000 -999.00000
-999 -999 -999    12.15000 -999.00000   10.68337 -999.00000 -999.00000
-999 -999 -999    13.60000 -999.00000   10.92046 -999.00000 -999.00000
-999 -999 -999    13.60400 -999.00000   11.21141 -999.00000 -999.00000
-999 -999 -999    10.58800 -999.00000   11.34155 -999.00000 -999.00000
-999 -999 -999     9.95200 -999.00000   11.27604 -999.00000 -999.00000
-999 -999 -999    11.90000 -999.00000   11.28662 -999.00000 -999.00000
-999 -999 -999     8.72500 -999.00000   11.23615 -999.00000 -999.00000
-999 -999 -999     5.35000 -999.00000   10.87219 -999.00000 -999.00000
-999 -999 -999     4.53300    9.04000   10.39561 -999.00000 -999.00000
-999 -999 -999     4.43800    8.87000    9.98715 -999.00000 -999.00000
-999 -999 -999     7.76500    8.87000    9.77396 -999.00000 -999.00000
-999 -999 -999    10.42200    8.88000    9.79515 -999.00000 -999.00000
-999 -999 -999    10.37000    7.90000    9.90433 -999.00000 -999.00000
-999 -999 -999     9.99200    8.31000    9.99219 -999.00000 -999.00000
-999 -999 -999     7.06700    8.72000    9.95582 -999.00000 -999.00000
-999 -999 -999     5.18800    7.64000    9.75282 -999.00000 -999.00000
-999 -999 -999     5.96700    7.64000    9.54139 -999.00000 -999.00000
-999 -999 -999     8.00800    7.65000    9.44963 -999.00000 -999.00000
-999 -999 -999     5.32500    7.65000    9.34792 -999.00000 -999.00000
-999 -999 -999     4.91700    7.65000    9.16314 -999.00000 -999.00000
-999 -999 -999     5.37900    7.91000    9.00291 -999.00000 -999.00000
-999 -999 -999     7.26700    7.91000    8.92677 -999.00000 -999.00000
-999 -999 -999     8.62100    7.91000    8.94661 -999.00000 -999.00000
-999 -999 -999     6.90000    7.60000    8.95534 -999.00000 -999.00000
-999 -999 -999     5.48600    7.70000    8.87731 -999.00000 -999.00000
-999 -999 -999     6.49200    5.14000    8.79555 -999.00000 -999.00000
-999 -999 -999     7.67500    5.25000    8.77928 -999.00000 -999.00000
-999 -999 -999     8.15000    6.07000    8.80808 -999.00000 -999.00000
-999 -999 -999     9.62900    6.07000    8.88712 -999.00000 -999.00000
-999 -999 -999     5.34800    7.14000    8.88642 -999.00000 -999.00000
-999 -999 -999     6.51700    7.14000    8.80159 -999.00000 -999.00000
-999 -999 -999     6.98700    7.15000    8.76798 -999.00000 -999.00000
-999 -999 -999     7.46300    7.10000    8.76187 -999.00000 -999.00000
-999 -999 -999     3.11700    7.10000    8.65470 -999.00000 -999.00000
-999 -999 -999     4.27500    5.98000    8.47624 -999.00000 -999.00000
-999 -999 -999     5.90000    5.98000    8.38496 -999.00000 -999.00000
-999 -999 -999    -1.52100    5.91000    8.16347 -999.00000 -999.00000
-999 -999 -999    -4.82100    5.89000    7.72624 -999.00000 -999.00000
-999 -999 -999     1.38700    5.32000    7.41705 -999.00000 -999.00000
-999 -999 -999     0.27100    5.26000    7.24090 -999.00000 -999.00000
-999 -999 -999    -3.13300    5.19000    7.00070 -999.00000 -999.00000
-999 -999 -999    -0.62500    5.19000    6.77049 -999.00000 -999.00000
-999 -999 -999     0.47500    5.19000    6.61945 -999.00000 -999.00000
-999 -999 -999    -3.00400    5.08000    6.44425 -999.00000 -999.00000
-999 -999 -999    -1.03300    5.08000    6.26166 -999.00000 -999.00000
-999 -999 -999     1.69600    4.50000    6.15836 -999.00000 -999.00000
-999 -999 -999     5.13300    4.82000    6.14348 -999.00000 -999.00000
-999 -999 -999     3.97900    4.81000    6.15934 -999.00000 -999.00000
-999 -999 -999     4.40900    4.81000    6.16485 -999.00000 -999.00000
-999 -999 -999     1.25400    4.81000    6.13358 -999.00000 -999.00000
-999 -999 -999    -5.39200    4.81000    5.97357 -999.00000 -999.00000
-999 -999 -999    -5.52100    4.81000    5.73913 -999.00000 -999.00000
-999 -999 -999    -3.47900    4.81000    5.54863 -999.00000 -999.00000
-999 -999 -999    -0.61700    4.74000    5.42859 -999.00000 -999.00000
-999 -999 -999     0.17500    4.63000    5.35576 -999.00000 -999.00000
-999 -999 -999    -9.28700    4.63000    5.19245 -999.00000 -999.00000
-999 -999 -999    -5.67100    4.63000    4.97969 -999.00000 -999.00000
-999 -999 -999    -2.71700    4.57000    4.84802 -999.00000 -999.00000
-999 -999 -999    -2.01700    4.45000    4.75841 -999.00000 -999.00000
-999 -999 -999     0.28800    4.44000    4.70056 -999.00000 -999.00000
-999 -999 -999     1.41700    4.44000    4.67596 -999.00000 -999.00000
-999 -999 -999     1.65800    4.44000    4.66424 -999.00000 -999.00000
-999 -999 -999    -0.44200    4.44000    4.63584 -999.00000 -999.00000
-999 -999 -999    -0.62900    4.45000    4.58761 -999.00000 -999.00000
-999 -999 -999     2.15800    3.09000    4.56379 -999.00000 -999.00000
-999 -999 -999     4.73700    3.73000    4.58748 -999.00000 -999.00000
-999 -999 -999     4.49200    4.40000    4.63110 -999.00000 -999.00000
-999 -999 -999     3.28300    3.40000    4.66093 -999.00000 -999.00000
-999 -999 -999     4.00000    3.06000    4.68558 -999.00000 -999.00000
-999 -999 -999     2.83300    4.11000    4.70542 -999.00000 -999.00000
-999 -999 -999     3.37900    4.07000    4.71892 -999.00000 -999.00000
-999 -999 -999     4.24600    3.72000    4.74474 -999.00000 -999.00000
-999 -999 -999     0.29600    3.72000    4.74142 -999.00000 -999.00000
-999 -999 -999    -5.09600    3.33000    4.65196 -999.00000 -999.00000
-999 -999 -999    -0.89600    3.33000    4.55564 -999.00000 -999.00000
-999 -999 -999    -2.05000    3.29000    4.49026 -999.00000 -999.00000
1994    1    1    -5.61200 -999.00000    4.38656 -999.00000 -999.00000
1994    1    2   -12.48700 -999.00000    4.20020 -999.00000 -999.00000
1994    1    3    -9.49200 -999.00000    3.99540 -999.00000 -999.00000
1994    1    4    -7.10400 -999.00000    3.84556 -999.00000 -999.00000
1994    1    5   -14.69600 -999.00000    3.65902 -999.00000 -999.00000
1994    1    6   -10.78800 -999.00000    3.44799 -999.00000 -999.00000
1994    1    7    -9.23700 -999.00000    3.28207 -999.00000 -999.00000
1994    1    8    -8.95800 -999.00000    3.13292 -999.00000 -999.00000
1994    1    9   -10.49600 -999.00000    2.97686 -999.00000 -999.00000
1994    1   10    -4.57900 -999.00000    2.85665 -999.00000 -999.00000
1994    1   11    -8.69200 -999.00000    2.75210 -999.00000 -999.00000
1994    1   12    -8.06700 -999.00000    2.62289 -999.00000 -999.00000
